Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum

2015,1,1,19,1,1/19/15,AA,19805,AA,N797AA,2,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,900,856,-4,0,0,-1,0900-0959,20,916,1700,9,1729,1709,-20,0,0,-2,1700-1759,0,,0,329,313,284,1,2475,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,7,3,1/7/15,AA,19805,AA,N785AA,4,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,1230,1352,82,82,1,5,1200-1259,13,1405,2204,5,2106,2209,63,63,1,4,2100-2159,0,,0,336,317,299,1,2475,10,0,0,55,0,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,26,1,1/26/15,AA,19805,AA,N357AA,5,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,12173,1217302,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,1315,1323,8,8,0,0,1300-1359,11,1334,1734,5,1758,1739,-19,0,0,-2,1700-1759,0,,0,523,496,480,1,3784,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,14,3,1/14/15,AA,19805,AA,N372AA,7,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,1215,1218,3,3,0,0,1200-1259,15,1233,1629,5,1643,1634,-9,0,0,-1,1600-1659,0,,0,508,496,476,1,3711,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,2,5,1/2/15,AA,19805,AA,N798AA,9,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,700,715,15,15,1,1,0700-0759,31,746,1043,26,1020,1109,49,49,1,3,1000-1059,0,,0,380,414,357,1,2475,10,15,0,34,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,21,3,1/21/15,AA,19805,AA,N785AA,10,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,2200,2200,0,0,0,0,2200-2259,14,2214,552,7,617,559,-18,0,0,-2,0600-0659,0,,0,317,299,278,1,2475,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,10,6,1/10/15,AA,19805,AA,N5ECAA,14,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,2300,2251,-9,0,0,-1,2300-2359,9,2300,542,4,604,546,-18,0,0,-2,0600-0659,0,,0,304,295,282,1,2486,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,4,7,1/4/15,AA,19805,AA,N787AA,16,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,1245,1336,51,51,1,3,1200-1259,22,1358,2200,5,2115,2205,50,50,1,3,2100-2159,0,,0,330,329,302,1,2586,11,0,0,50,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,24,6,1/24/15,AA,19805,AA,N016AA,17,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,700,651,-9,0,0,-1,0700-0759,17,708,838,12,852,850,-2,0,0,-1,0800-0859,0,,0,112,119,90,1,594,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,18,7,1/18/15,AA,19805,AA,N789AA,19,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,1100,1102,2,2,0,0,1100-1159,20,1122,1400,6,1429,1406,-23,0,0,-2,1400-1459,0,,0,389,364,338,1,2475,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,11,7,1/11/15,AA,19805,AA,N793AA,21,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,1845,1847,2,2,0,0,1800-1859,26,1913,2202,22,2211,2224,13,13,0,0,2200-2259,0,,0,386,397,349,1,2475,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,30,5,1/30/15,AA,19805,AA,N799AA,22,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,1525,1722,117,117,1,7,1500-1559,12,1734,115,5,2347,120,93,93,1,6,2300-2359,0,,0,322,298,281,1,2475,10,0,0,0,0,93,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

