EV,BQK,1657,1757,0
OO,BOI,1518,1618,0
AA,DFW,1502,1552,0
DL,ATL,2057,2300,1
WN,OAK,2035,2302,1
WN,SJC,1954,2311,0
DL,ATL,1522,1742,0
UA,PHX,720,1143,0
MQ,CLE,1517,1532,0
DL,CVG,1054,1211,0
DL,BWI,730,917,0
WN,BNA,730,858,0
OO,COS,1047,1127,0
WN,LAS,1055,1213,0
EV,ATL,808,922,0
B6,JFK,1123,1423,0
WN,IAD,635,721,0
US,CLT,2227,2320,0
VX,ORD,2027,2259,1
EV,ATL,830,913,0
B6,DCA,2001,2141,1
VX,LAS,2026,2221,0
MQ,DFW,1500,1616,0
WN,TUL,1720,1820,0
AA,DCA,1404,1518,0
DL,EWR,1745,2030,1
DL,LAX,1129,1711,1
AS,ANC,1431,1531,0
DL,ATL,1121,1214,1
UA,SFO,2050,502,0
F9,SBA,1618,1943,0
YV,IND,1920,2046,0
DL,SLC,1156,1436,0
B6,BOS,959,1308,1
B6,PBI,1545,1841,0
DL,FLL,1318,1618,0
FL,MCO,1532,1705,0
WN,PHX,1107,1656,0
DL,CLT,823,1004,0
DL,ATL,836,930,0
WN,MDW,706,830,0
MQ,ORD,1256,1549,0
WN,PHL,605,745,0
OO,FAT,1044,1145,0
UA,OMA,1316,1351,0
UA,PHX,727,1157,0
DL,DTW,1208,1318,0
WN,LAS,1952,211,1
HA,HNL,647,741,0
OO,LAX,2035,2206,1
MQ,DFW,1110,1226,1
MQ,MIA,1137,1420,0
OO,SFO,2230,2340,0
WN,MSY,923,1204,0
DL,OMA,1519,1632,1
HA,HNL,1552,1645,0
OO,ONT,655,1215,0
OO,MSP,1919,2234,0
AA,MSP,618,1044,0
WN,DAL,1054,1206,0
UA,ALB,630,754,0
EV,IAH,1347,1703,1
EV,SDF,1415,1538,0
UA,ORD,2110,14,0
AA,MIA,1639,1734,1
OO,DEN,1928,2057,1
DL,DTW,1302,1340,1
OO,ORD,939,1117,0
9E,CAK,1731,1838,0
HA,HNL,1039,1118,0
OO,SFO,2320,38,1
DL,ATL,1752,1937,0
B6,BOS,2008,2217,0
DL,MSP,1156,1330,1
US,CLT,1448,1537,0
WN,DEN,1931,2148,0
EV,LIT,904,1034,0
HA,OAK,853,1110,1
WN,LGA,842,950,0
F9,FAT,729,1035,0
MQ,ORD,910,1142,1
US,BWI,1028,1204,0
US,MIA,1729,1930,1
9E,JFK,1448,1558,0
DL,MIA,626,828,0
WN,PVD,851,1048,0
WN,MDW,836,1116,0
HA,HNL,1349,2154,0
WN,LAS,1910,2038,1
EV,ORD,1404,1640,0
US,RIC,1430,1539,0
US,PHL,1350,1451,0
OO,SFO,827,948,0
YV,OAK,1102,1252,1
OO,MSO,1258,1427,0
WN,TPA,650,842,1
UA,PDX,1330,1509,0
US,BOS,851,1023,0
WN,BNA,1145,1351,0
WN,SJC,731,902,0
DL,ATL,1412,1545,1
DL,ORF,2031,2211,0
MQ,CHS,720,902,0
UA,SFO,1530,1703,1
WN,SJC,1039,1228,0
AA,ORD,1548,1807,1
UA,LAX,1033,1809,1
B6,BOS,1955,2315,0
WN,PHL,1556,1822,0
AA,DFW,1528,1624,0
AA,DCA,1850,2104,1
EV,AMA,629,743,0
F9,DEN,1955,2236,0
NK,DTW,931,1301,0
MQ,DFW,1451,1553,0
DL,MSP,732,1112,1
OO,PHX,1008,1143,0
US,SYR,1956,2136,1
9E,OKC,718,1023,1
UA,IAD,2212,24,0
FL,CAK,1118,1349,0
UA,CLE,744,823,0
DL,SEA,918,1431,0
DL,LGA,656,957,0
OO,LAX,1245,1331,1
NK,FLL,2010,2255,0
WN,SJC,927,1036,0
DL,LAS,627,722,0
UA,LAX,1140,1743,1
YV,MCI,1008,1332,0
AA,MFE,616,805,0
AA,BOS,1435,1640,1
EV,CLE,719,813,0
OO,SFO,2024,2138,0
WN,SAN,624,943,0
OO,PDX,2001,2109,0
DL,ATL,1756,2028,0
AA,CLE,1339,1551,0
US,PHX,1637,2229,1
EV,DTW,845,859,1
WN,PHX,951,1205,0
AA,DEN,1733,2124,0
AA,DFW,2105,2208,1
WN,DEN,1447,1756,0
UA,IAH,1916,2220,1
WN,SMF,2116,2236,0
MQ,ORD,1647,1826,0
B6,PBI,?,?,?
AA,SFO,2327,521,0
UA,DEN,1843,2217,1
AA,DFW,2128,2211,0
EV,IAH,1229,1340,1
DL,DTW,1218,1436,0
EV,IAH,1734,1924,0
US,CLT,832,1110,1
9E,MSP,1915,2049,0
WN,DEN,1626,2155,0
WN,BDL,1532,1655,0
OO,AUS,1229,1426,1
AS,ANC,2118,149,0
OO,BUR,2024,2223,0
OO,LAX,1006,1112,0
DL,ECP,1201,1420,1
WN,BOI,737,915,0
US,CLT,2232,47,1
DL,LGA,1958,2201,0
OO,ORD,1525,1616,1
B6,FLL,715,958,0
VX,SFO,851,1710,1
DL,MSP,1307,1635,0
DL,PNS,1843,2051,0
UA,SFO,603,727,0
US,BOS,1018,1126,1
OO,FLG,654,744,0
WN,ISP,2111,2,0
EV,CLE,930,1035,0
DL,SLC,1720,2339,0
FL,ATL,852,913,0
WN,MDW,827,1121,0
WN,BWI,725,926,0
UA,CMH,709,711,0
FL,RSW,1212,1435,0
UA,DEN,1526,2115,1
OO,DEN,1905,2058,0
UA,ORD,1353,1724,0
US,PHX,1151,1535,0
US,PBI,554,813,0
EV,ORD,1318,1514,1
US,DEN,1557,2124,0
EV,TYS,959,1051,0
WN,SEA,1724,1912,0
DL,ATL,825,935,0
MQ,ELP,1318,1703,0
US,PHL,2048,2315,0
MQ,CMI,1817,1913,0
UA,ORD,1808,2102,1
WN,DEN,2056,2217,1
UA,CMH,808,913,0
EV,ORD,2207,58,1
EV,JAN,1548,1815,1
DL,FLL,940,1126,0
WN,MDW,833,950,1
AA,TUL,1137,1254,0
US,PHX,1454,1803,1
OO,MOT,1735,1924,1
9E,DTW,1535,1558,0
DL,JFK,1539,1836,1
WN,OKC,1705,1751,1
OO,LAX,1323,1419,1
B6,BWI,1559,1724,0
MQ,DFW,1216,1531,0
WN,HOU,1038,1327,0
US,CLT,1127,1247,0
OO,SBA,1120,1306,1
EV,HSV,1351,1536,0
WN,STL,1312,1426,0
DL,DTW,2146,2354,0
DL,ATL,2206,2352,0
FL,IND,830,1038,0
EV,OAJ,556,717,0
MQ,ORD,1004,1050,0
B6,BOS,2016,2232,0
NK,LAS,2018,2123,0
WN,BHM,914,1136,0
US,PHX,1027,1358,0
EV,CRP,1530,1617,1
WN,MDW,1452,1700,0
US,PHL,1152,1356,0
OO,ORD,936,1122,0
WN,MCO,1346,1429,0
DL,DTW,838,1033,0
DL,TPA,1622,1755,1
UA,LAX,702,1544,0
DL,ATL,1458,1521,0
AA,MIA,1123,1324,1
MQ,SHV,1305,1416,1
AA,DCA,1434,1527,1
UA,DEN,817,901,0
B6,IAD,2144,2311,1
UA,LAX,612,731,0
DL,ATL,1343,1337,0
OO,DFW,1309,1413,0
WN,PIT,649,856,0
B6,JFK,659,1051,0
9E,OMA,1057,1234,0
B6,LAS,2226,621,0
US,PHX,1649,1841,0
WN,MDW,1446,1705,0
UA,LAX,2229,612,0
OO,FAR,1810,1912,1
B6,SYR,1126,1242,0
DL,LGA,704,957,0
OO,IAH,1925,2327,1
OO,CVG,1636,1726,0
OO,FLG,654,744,0
OO,MSP,622,837,0
WN,DAL,1545,1631,0
DL,DCA,1647,1911,0
OO,ORD,2054,2338,1
UA,ORD,2034,2323,1
UA,PIT,1047,1116,1
DL,DTW,1959,2321,0
DL,SEA,702,936,0
EV,IAH,1630,1740,0
HA,SEA,1000,1254,0
OO,LAX,827,941,0
WN,CLT,1041,1238,0
OO,LAX,1430,1521,0
AA,SEA,606,1211,0
AA,LGA,648,950,0
F9,DFW,2220,2314,0
EV,BNA,714,925,0
F9,DEN,1117,1412,0
US,ORD,1550,1835,0
UA,MCO,837,1026,0
OO,PHX,1208,1424,0
DL,CLT,601,729,0
EV,CVG,1735,1856,1
B6,FLL,1147,1448,0
OO,MRY,1601,1755,0
AS,SLC,1323,1413,1
MQ,GRI,1440,1622,0
F9,DTW,1913,2014,0
WN,MCO,1721,1841,0
DL,MSP,1346,1723,0
US,PHL,1835,2047,1
OO,EUG,707,828,0
UA,SFO,627,1244,0
EV,EWR,1317,1458,1
DL,DTW,2108,2236,1
US,PHX,812,1413,0
DL,ATL,2027,2145,1
UA,SFO,1906,2034,1
OO,COS,850,1034,1
9E,MSP,2151,2249,0
MQ,DFW,841,1156,0
UA,LAX,1342,1844,0
WN,BWI,1622,1724,0
WN,LAX,2002,100,1
YV,CLT,1816,2008,1
WN,TPA,856,1016,0
B6,LGA,1154,1511,1
OO,LAX,845,1006,1
WN,DSM,600,714,0
US,JAX,1522,1633,0
WN,BNA,919,1116,0
US,PHL,2055,2207,0
WN,ELP,1544,1642,0
WN,SAN,1234,1354,0
OO,LAX,1509,1602,1
OO,PHX,716,809,0
AA,LGA,1059,1351,0
AS,SEA,1226,1502,1
WN,ATL,2220,2351,0
UA,EWR,858,1158,0
UA,AUS,756,937,0
HA,HNL,2008,2054,0
WN,LAX,2029,2134,0
OO,MKE,851,1056,0
B6,HOU,1254,1753,0
US,PHX,1053,1302,0
AA,BOS,1101,1408,0
EV,IAH,2035,2216,1
US,FLL,1012,1215,0
EV,CVG,1140,1308,0
